"Year","SiteNum","Treatment","NestInitiationDate","FledgeFailDate"
2018,"18-1","nest",2018-05-02,2018-07-02
2018,"18-2","nest",2018-05-15,2018-07-30
2018,"18-3","nest",2018-06-17,2018-06-25
2018,"18-4","nest",2018-06-14,2018-08-27
2018,"18-5","nest",2018-06-25,2018-08-15
2018,"18-11","control",NA,NA
2018,"18-12","control",NA,NA
2018,"18-13","control",NA,NA
2018,"18-15","control",NA,NA
2018,"18-16","control",NA,NA
2018,"18-17","control",NA,NA
2018,"18-21","control",NA,NA
2018,"18-22","control",NA,NA
2018,"18-23","control",NA,NA
2018,"18-27","control",NA,NA
2018,"18-28","control",NA,NA
2018,"18-29","control",NA,NA
2019,"19-3","control",NA,NA
2019,"19-5","control",NA,NA
2019,"19-8","nest",2019-05-10,2019-07-05
2019,"19-10","nest",2019-06-15,2019-08-27
2021,"21-1","nest",2021-04-28,2021-06-26
2021,"21-2","nest",2021-05-16,2021-07-18
2021,"21-4","nest",2021-06-04,2021-08-08
2021,"21-6","nest",2021-06-09,2021-06-27
2021,"21-7","nest",2021-06-18,2021-08-22
2021,"21-8","nest",2021-06-21,2021-07-21
2021,"21-9","nest",2021-06-27,2021-08-26
2021,"21-21","control",NA,NA
2021,"21-22","control",NA,NA
2021,"21-23","control",NA,NA
2021,"21-24","control",NA,NA
2021,"21-27","control",NA,NA
2021,"21-28","control",NA,NA
2022,"22-2","nest",2022-05-04,2022-06-14
2022,"22-3","nest",2022-05-20,2022-07-23
2022,"22-4","nest",2022-06-16,2022-08-10
2022,"22-5","nest",2022-06-15,2022-08-16
2022,"22-6","nest",2022-06-24,2022-07-24
2022,"22-7","nest",2022-06-24,2022-08-14
2022,"22-11","control",NA,NA
2022,"22-12","control",NA,NA
2022,"22-13","control",NA,NA
2022,"22-14","control",NA,NA
2022,"22-15","control",NA,NA
2022,"22-16","control",NA,NA
