"SiteNum","StationNum","Distance"
"18-1","A",36.1
"18-1","B",89.7
"18-1","C",158.44
"18-2","A",15.61
"18-2","B",82.77
"18-2","C",192.6
"18-3","A",14.19
"18-3","B",146.91
"18-3","C",190.04
"18-4","A",18.49
"18-4","B",100.6
"18-4","C",166.54
"18-5","A",48.14
"18-5","B",101.33
"18-5","C",169.01
"18-11","A",41.46
"18-11","B",82.55
"18-11","C",204.64
"18-12","A",38.77
"18-12","B",69.43
"18-12","C",124.24
"18-13","A",47.19
"18-13","B",93.6
"18-13","C",166.45
"18-15","A",11.3
"18-15","B",79.93
"18-15","C",196.17
"18-16","A",45.16
"18-16","B",82.07
"18-16","C",156.37
"18-17","A",23.59
"18-17","B",93.43
"18-17","C",139.88
"18-21","A",38.36
"18-21","B",100.82
"18-21","C",155.02
"18-22","A",31.95
"18-22","B",109.33
"18-22","C",183.2
"18-23","A",15.82
"18-23","B",105.67
"18-23","C",212.57
"18-27","A",37.22
"18-27","B",141.28
"18-27","C",162.64
"18-28","A",25.07
"18-28","C",211.95
"18-29","A",54.09
"18-29","B",112.99
"18-29","C",147.61
"19-3","A",37
"19-3","B",96
"19-3","C",189
"19-5","A",61
"19-5","B",105
"19-5","C",154
"19-8","A",16
"19-8","B",40
"19-8","C",150
"19-10","A",15
"19-10","B",97
"19-10","C",180
"21-1","A",51
"21-1","B",130
"21-1","C",200
"21-2","A",14
"21-2","B",79
"21-2","C",151
"21-4","A",32
"21-4","B",90
"21-4","C",197
"21-6","A",56
"21-6","B",130
"21-7","A",24
"21-7","B",74
"21-7","C",152
"21-8","A",53
"21-9","A",53
"21-9","B",106
"21-9","C",192
"21-21","A",49
"21-21","B",119
"21-21","C",199
"21-22","A",62
"21-22","B",131
"21-22","C",183
"21-23","A",63
"21-23","B",117
"21-23","C",180
"21-24","A",22
"21-24","B",100
"21-24","C",146
"21-27","A",18
"21-27","B",102
"21-27","C",183
"21-28","A",3
"22-14","A",52
"22-14","B",92
"22-14","C",164
"22-12","A",22
"22-12","B",127
"22-12","C",161
"22-3","A",32
"22-3","B",130
"22-3","C",184
"22-2","A",56
"22-2","B",122
"22-2","C",172
"22-6","A",40
"22-6","B",94
"22-6","C",148
"22-4","A",25
"22-4","B",77
"22-4","C",138
"22-5","A",54
"22-5","B",129
"22-5","C",187
"22-11","A",8
"22-11","B",103
"22-11","C",187
"22-16","A",9
"22-16","B",127
"22-16","C",149
"22-7","A",36
"22-7","B",99
"22-7","C",157
"22-15","A",33
"22-15","B",129
"22-15","C",174
"22-13","A",62
"22-13","B",76
"22-13","C",176
